code	scientific_name	english_name	euring_scientific_name	euring_english_name	aphia_id	aphia_scientific_name	remarks
20	Gavia stellata	Red-throated Diver	Gavia stellata		137188	Gavia stellata	
30	Gavia arctica	Black-throated Diver	Gavia arctica		137186	Gavia arctica	
40	Gavia immer	Great Northern Diver	Gavia immer		137187	Gavia immer	
!45	Gavia immer / adamsii	Great Northern / White-billed diver			137057	Gavia	
50	Gavia adamsii	White-billed Diver	Gavia adamsii		137185	Gavia adamsii	
59	Gavia sp.	unidentified diver	Gavia sp.		137057	Gavia	
70	Tachybaptus ruficollis	Little Grebe	Tachybaptus ruficollis		148790	Tachybaptus ruficollis	
90	Podiceps cristatus	Great Crested Grebe	Podiceps cristatus		137182	Podiceps cristatus	
100	Podiceps grisegena	Red-necked Grebe	Podiceps grisegena		137183	Podiceps grisegena	
110	Podiceps auritus	Slavonian Grebe	Podiceps auritus		137181	Podiceps auritus	
120	Podiceps nigricollis	Black-necked Grebe	Podiceps nigricollis		137184	Podiceps nigricollis	
!127	Podiceps grisegena / cristatus	Red-necked / Great Crested Grebe			137056	Podiceps	
!128	Podiceps auritus / nigricollis	Slavonian / Black-necked Grebe			137056	Podiceps	
129	Podiceps sp.	unidentified grebe	Podiceps sp.		137056	Podiceps	
140	Thalassarche melanophris	Black-browed Albatross	Diomedea melanophris		343995	Thalassarche melanophris	
220	Fulmarus glacialis	Northern Fulmar	Fulmarus glacialis		137195	Fulmarus glacialis	
262	Pterodroma feae	Fea's Petrel	Pterodroma feae		137197	Pterodroma feae	
!260	Pterodroma feae / madeira / deserta	unidentified (Pterodroma) petrel			137064	Pterodroma	not exactly same as euring 260
263	Pterodroma madeira	Zino's Petrel	Pterodroma madeira		137198	Pterodroma madeira	
!269	Pterodroma madeira / deserta	Zino's / Desertas Petrel			137064	Pterodroma	
35990	Pterodroma deserta	Desertas Petrel	Pterodroma deserta		759338	Pterodroma deserta	
340	Bulweria bulwerii	Bulwer's Petrel	Bulweria bulwerii		137193	Bulweria bulwerii	
350	Bulweria fallax	Jouanin's Petrel	Bulweria fallax		212650	Bulweria fallax	
!359		unidentified petrel			136998	Procellariidae	
360	Calonectris diomedea	Scopoli's Shearwater	Calonectris diomedea		137194	Calonectris diomedea	
!361	Calonectris diomedea / borealis	Scopoli's / Cory's Shearwater			137062	Calonectris	
362	Calonectris edwardsii	Cape Verde Shearwater	Calonectris edwardsii	Cape Verde Shearwater	759340	Calonectris edwardsii	
35970	Calonectris borealis	Cory's shearwater	Calonectris borealis		1348497	Calonectris borealis	previously 365
400	Ardenna gravis	Great Shearwater	Puffinus gravis		882958	Ardenna gravis	
!409	Ardenna gravis / Calonectris sp.	Great / Calonectris Shearwater			136998	Procellariidae	
410	Puffinus pacificus	Wedge-tailed Shearwater	Puffinus pacificus		212634	Puffinus pacificus	
430	Ardenna grisea	Sooty Shearwater	Puffinus griseus		707542	Ardenna grisea	
460	Puffinus puffinus	Manx Shearwater	Puffinus puffinus		137203	Puffinus puffinus	
462	Puffinus yelkouan	Yelkouan Shearwater	Puffinus puffinus yelkouan		137204	Puffinus yelkouan	
463	Puffinus mauretanicus	Balearic Shearwater	Puffinus puffinus mauretanicus		445503	Puffinus mauretanicus	previously 462 (v5)
!469	Calonectris / Puffinus / Ardenna sp.	unidentified shearwater			136998	Procellariidae	
!480	Puffinus baroli / boydi	Barolo / Boyd's Shearwater			137065	Puffinus	not exactly same as euring 480
482	Puffinus baroli	Barolo Shearwater	Puffinus assimilis baroli		514084	Puffinus baroli	
483	Puffinus boydi	Boyd's Shearwater	Puffinus assimilis boydi		1484554	Puffinus boydi	
499	Puffinus sp.		Puffinus sp.		137065	Puffinus	
500	Oceanites oceanicus	Wilson's Storm Petrel	Oceanites oceanicus		137190	Oceanites oceanicus	
510	Pelagodroma marina	White-faced Storm Petrel	Pelagodroma marina		212700	Pelagodroma marina	
520	Hydrobates pelagicus	European Storm Petrel	Hydrobates pelagicus		137189	Hydrobates pelagicus	
550	Oceanodroma leucorhoa	Leach's Storm Petrel	Oceanodroma leucorhoa		137192	Oceanodroma leucorhoa	
!558	Oceanodroma leucorhoa / Hydrobates pelagicus	Leach’s / European Storm Petrel			148794	Hydrobatidae	
!559		unidentified Storm Petrel			148794	Hydrobatidae	
560	Oceanodroma monorhis	Swinhoe's Storm Petrel	Oceanodroma monorhis		212699	Oceanodroma monorhis	
580	Oceanodroma castro	Band-rumped Storm Petrel	Oceanodroma castro		137191	Oceanodroma castro	
581	Oceanodroma monteiroi	Monteiro's Storm Petrel	Oceanodroma monteiroi	Monteiro's Storm Petrel	759342	Oceanodroma monteiroi	
640	Phaethon aethereus	Red-billed Tropicbird	Phaethon aethereus		137177	Phaethon aethereus	
660	Phaethon lepturus	White-tailed Tropicbird	Phaethon lepturus		212594	Phaethon lepturus	
670	Sula sula	Red-footed Booby	Sula sula		212596	Sula sula	
700	Sula leucogaster	Brown Booby	Sula leucogaster		212597	Sula leucogaster	
710	Morus bassanus	Northern Gannet	Sula bassana		148776	Morus bassanus	
720	Phalacrocorax carbo	Great Cormorant	Phalacrocorax carbo		137179	Phalacrocorax carbo	
721	Phalacrocorax carbo carbo	Great Cormorant (carbo)	Phalacrocorax carbo carbo		137179	Phalacrocorax carbo	
800	Phalacrocorax aristotelis	European Shag	Phalacrocorax aristotelis		137178	Phalacrocorax aristotelis	
849	Phalacrocorax sp.	unidentified cormorant	Phalacrocorax sp.		137054	Phalacrocorax	previously 809 (v5)
920	Fregata minor	Great Frigatebird	Fregata minor		212654	Fregata minor	
930	Fregata magnificens	Magnificent Frigatebird	Fregata magnificens		343999	Fregata magnificens	
1010	Ixobrychus cinnamomeus	Cinnamon Bittern	Ixobrychus cinnamomeus		1034714	Ixobrychus cinnamomeus	
1110	Bubulcus ibis	Western Cattle Egret	Bubulcus ibis		159742	Bubulcus ibis	
1190	Egretta garzetta	Little Egret	Egretta garzetta		159115	Egretta garzetta	
1210	Ardea alba	Great Egret	Egretta alba		159381	Ardea alba	
1220	Ardea cinerea	Grey Heron	Ardea cinerea		212668	Ardea cinerea	
1340	Ciconia ciconia	White Stork	Ciconia ciconia		1037305	Ciconia ciconia	
1360	Plegadis falcinellus	Glossy Ibis	Plegadis falcinellus		158977	Plegadis falcinellus	
1440	Platalea leucorodia	Eurasian Spoonbill	Platalea leucorodia		416678	Platalea leucorodia	
