code	description	origin
1	Temp 1	JNCC
2	Temp 2	JNCC
3	Temp 3	JNCC
4	Temp 4	JNCC
5	Temp 5	JNCC
6	Temp 6	JNCC
7	Temp 7	JNCC
8	Temp 8	JNCC
9	Temp 9	JNCC
10	Temp 10	JNCC
101	HMS Orkney	JNCC
102	HMS Guernsey	JNCC
103	HMS Lindisfarne	JNCC
104	HMS Anglesey	JNCC
105	HMS Shetland	JNCC
106	HMS Jersey	JNCC
107	HMS Alderney	JNCC
108	HMS Leeds Castle	JNCC
109	HMS Dumbarton Castle	JNCC
110	HMS Beagle	JNCC
111	HMS Bulldog	JNCC
112	HMS Hydra	JNCC
113	FPV Vigilant	JNCC
114	FPV Sulisker	JNCC
115	FPV Jura	JNCC
116	FPV Westra	JNCC
117	K/V Nordsjobas	JNCC
118	K/V Lafjord	JNCC
119	FPV Norna	JNCC
120	L E Emer	JNCC
121	L E Aisling	JNCC
122	L E Eithne	JNCC
123	L E Aoife	JNCC
124	HDMS Thetis	JNCC
125	HDMS Beskytteren	JNCC
126	FPV Tjaldrid	JNCC
201	Claymore	JNCC
202	Columba	JNCC
203	Blenheim	JNCC
204	Amorique	JNCC
205	St Clair	JNCC
206	Venus	JNCC
207	St Edmund	JNCC
208	Lion	JNCC
209	Free Enterprise VII	JNCC
210	Dana Anglia	JNCC
211	Winston Churchill	JNCC
212	Scillonian III	JNCC
213	Sound of Islay	JNCC
214	Panther/later St Sunniva	JNCC
215	Viking Viscount	JNCC
216	Tor Scandinavia	JNCC
217	Tor Britannia	JNCC
218	Dana Regina	JNCC
219	England	JNCC
220	Iona	JNCC
221	Jupiter	JNCC
222	Uganda	JNCC
223	St Ola	JNCC
224	Viking Voyager	JNCC
225	Dana Gloria	JNCC
226	Smyril	JNCC
227	Free Enterprise VIII	JNCC
228	Olau Finn	JNCC
229	Herald of Free Enterprise	JNCC
230	Bride of Free Enterprise	JNCC
231	Tiger	JNCC
232	Free Enterprise VI	JNCC
233	Free Enterprise IV	JNCC
234	St George	JNCC
235	Prinz Hamlet	JNCC
236	Princess Beatrix	JNCC
237	Pioneer	JNCC
238	Manx Viking	JNCC
239	Norland	JNCC
240	Norstar	JNCC
241	Bolero	JNCC
242	Innisfallen	JNCC
243	Spirit of Free Enterprise	JNCC
244	Suilven	JNCC
245	Earl William	JNCC
246	Finneagle	JNCC
247	Norrona	JNCC
248	St Brendan	JNCC
249	St Columbus	JNCC
250	St Colum I	JNCC
251	Mona's Queen	JNCC
252	Tynwald	JNCC
253	Celtic Pride	JNCC
254	Lady of Mann	JNCC
255	St Patrick II	JNCC
256	Darnia	JNCC
257	Bison / European Pioneer	JNCC
258	Puma / European Seafarer	JNCC
259	Galloway Princess	JNCC
260	Hebridean Isles	JNCC
261	St David	JNCC
262	Bolette	JNCC
263	Viking Trader	JNCC
264	Hengist	JNCC
265	Champs Elysees/later Parisian	JNCC
266	Pride of Winchester	JNCC
267	Pride of Cherbourg	JNCC
268	Pride of Le Havre	JNCC
269	Corbiere	JNCC
270	Rozel	JNCC
271	Munster	JNCC
272	Versailles/later Londoner	JNCC
273	Pride of Hampshire	JNCC
274	Havelet	JNCC
275	Horsa	JNCC
276	Quiberon	JNCC
277	Oldenburg	JNCC
278	Waverley	JNCC
279	Bretagne	JNCC
280	Balmoral	JNCC
281	St Killian II	JNCC
282	Gry Maritha	JNCC
