esas_code	scientific_name	english_name	euring_code	euring_scientific_name	aphia_id	aphia_scientific_name	remarks
20	Gavia stellata	Red-throated Diver	00020	Gavia stellata	137188	Gavia stellata	
30	Gavia arctica	Black-throated Diver	00030	Gavia arctica	137186	Gavia arctica	
40	Gavia immer	Great Northern Diver	00040	Gavia immer	137187	Gavia immer	
45	Gavia immer / adamsii	Great Northern / White-billed diver			137057	Gavia	
50	Gavia adamsii	White-billed Diver	00050	Gavia adamsii	137185	Gavia adamsii	
59	Gavia sp.	unidentified diver	00059	Gavia sp.	137057	Gavia	
70	Tachybaptus ruficollis	Little Grebe	00070	Tachybaptus ruficollis	148790	Tachybaptus ruficollis	
90	Podiceps cristatus	Great Crested Grebe	00090	Podiceps cristatus	137182	Podiceps cristatus	
100	Podiceps grisegena	Red-necked Grebe	00100	Podiceps grisegena	137183	Podiceps grisegena	
110	Podiceps auritus	Slavonian Grebe	00110	Podiceps auritus	137181	Podiceps auritus	
120	Podiceps nigricollis	Black-necked Grebe	00120	Podiceps nigricollis	137184	Podiceps nigricollis	
126	Podiceps grisegena / auritus	Red-necked / Slavonian Grebe			137056	Podiceps	
127	Podiceps grisegena / cristatus	Red-necked / Great Crested Grebe			137056	Podiceps	
128	Podiceps auritus / nigricollis	Slavonian / Black-necked Grebe			137056	Podiceps	
129	Podiceps sp.	unidentified grebe	00129	Podiceps sp.	137056	Podiceps	
140	Thalassarche melanophris	Black-browed Albatross	00140	Diomedea melanophris	343995	Thalassarche melanophris	
220	Fulmarus glacialis	Northern Fulmar	00220	Fulmarus glacialis	137195	Fulmarus glacialis	
262	Pterodroma feae	Fea's Petrel	00262	Pterodroma feae	137197	Pterodroma feae	
260	Pterodroma mollis / madeira / feae + deserta	Soft-plumaged Petrel spec.	00260	Pterodroma mollis / madeira / feae	137064	Pterodroma	261 (v5), EURING 260 includes P. feae, which was later split in P. feae and deserta
263	Pterodroma madeira	Zino's Petrel	00263	Pterodroma madeira	137198	Pterodroma madeira	
269	Pterodroma madeira / deserta	Zino's / Desertas Petrel			137064	Pterodroma	
35990	Pterodroma deserta	Desertas Petrel	35990	Pterodroma deserta	759338	Pterodroma deserta	
340	Bulweria bulwerii	Bulwer's Petrel	00340	Bulweria bulwerii	137193	Bulweria bulwerii	
350	Bulweria fallax	Jouanin's Petrel	00350	Bulweria fallax	212650	Bulweria fallax	
359		unidentified petrel			136998	Procellariidae	
360	Calonectris diomedea	Scopoli's Shearwater	00360	Calonectris diomedea	137194	Calonectris diomedea	
361	Calonectris diomedea / borealis	Scopoli's / Cory's Shearwater			137062	Calonectris	360 (v5)
362	Calonectris edwardsii	Cape Verde Shearwater	00362	Calonectris edwardsii	759340	Calonectris edwardsii	
35970	Calonectris borealis	Cory's shearwater	35970	Calonectris borealis	1348497	Calonectris borealis	
400	Puffinus gravis	Great Shearwater	00400	Puffinus gravis	137201	Puffinus gravis	
409	Puffinus gravis / Calonectris sp.	Great / Calonectris Shearwater			136998	Procellariidae	
410	Puffinus pacificus	Wedge-tailed Shearwater	00410	Puffinus pacificus	212634	Puffinus pacificus	
430	Puffinus griseus	Sooty Shearwater	00430	Puffinus griseus	137202	Puffinus griseus	
460	Puffinus puffinus	Manx Shearwater	00460	Puffinus puffinus	137203	Puffinus puffinus	
462	Puffinus yelkouan	Yelkouan Shearwater	00462	Puffinus puffinus yelkouan	137204	Puffinus yelkouan	
463	Puffinus mauretanicus	Balearic Shearwater	00463	Puffinus puffinus mauretanicus	445503	Puffinus mauretanicus	462 (v5)
469	Calonectris / Puffinus sp.	unidentified shearwater			136998	Procellariidae	
480	Puffinus baroli / boydi	Barolo / Boyd's Shearwater			137065	Puffinus	Not exactly the same as EURING 480
482	Puffinus baroli	Barolo Shearwater	00482	Puffinus assimilis baroli	514084	Puffinus baroli	
483	Puffinus boydi	Boyd's Shearwater	00483	Puffinus assimilis boydi	1484554	Puffinus boydi	
499	Puffinus sp.		00499	Puffinus sp.	137065	Puffinus	
500	Oceanites oceanicus	Wilson's Storm Petrel	00500	Oceanites oceanicus	137190	Oceanites oceanicus	
510	Pelagodroma marina	White-faced Storm Petrel	00510	Pelagodroma marina	212700	Pelagodroma marina	
520	Hydrobates pelagicus	European Storm Petrel	00520	Hydrobates pelagicus	137189	Hydrobates pelagicus	
550	Oceanodroma leucorhoa	Leach's Storm Petrel	00550	Oceanodroma leucorhoa	137192	Oceanodroma leucorhoa	
558	Oceanodroma leucorhoa / Hydrobates pelagicus	Leach’s / European Storm Petrel			148794	Hydrobatidae	
559		unidentified Storm Petrel			148794	Hydrobatidae	
560	Oceanodroma monorhis	Swinhoe's Storm Petrel	00560	Oceanodroma monorhis	212699	Oceanodroma monorhis	
580	Oceanodroma castro	Band-rumped Storm Petrel	00580	Oceanodroma castro	137191	Oceanodroma castro	
581	Oceanodroma monteiroi	Monteiro's Storm Petrel	00581	Oceanodroma monteiroi	759342	Oceanodroma monteiroi	
640	Phaethon aethereus	Red-billed Tropicbird	00640	Phaethon aethereus	137177	Phaethon aethereus	
660	Phaethon lepturus	White-tailed Tropicbird	00660	Phaethon lepturus	212594	Phaethon lepturus	
670	Sula sula	Red-footed Booby	00670	Sula sula	212596	Sula sula	
700	Sula leucogaster	Brown Booby	00700	Sula leucogaster	212597	Sula leucogaster	
710	Morus bassanus	Northern Gannet	00710	Sula bassana	148776	Morus bassanus	
720	Phalacrocorax carbo	Great Cormorant	00720	Phalacrocorax carbo	137179	Phalacrocorax carbo	
721	Phalacrocorax carbo carbo	Great Cormorant (carbo)	00721	Phalacrocorax carbo carbo	1534848	Phalacrocorax carbo carbo	
800	Phalacrocorax aristotelis	European Shag	00800	Phalacrocorax aristotelis	137178	Phalacrocorax aristotelis	
849	Phalacrocorax sp.	unidentified cormorant	00849	Phalacrocorax sp.	137054	Phalacrocorax	809 (v5)
920	Fregata minor	Great Frigatebird	00920	Fregata minor	212654	Fregata minor	
930	Fregata magnificens	Magnificent Frigatebird	00930	Fregata magnificens	343999	Fregata magnificens	
1010	Ixobrychus cinnamomeus	Cinnamon Bittern	01010	Ixobrychus cinnamomeus	1034714	Ixobrychus cinnamomeus	
1110	Bubulcus ibis	Western Cattle Egret	01110	Bubulcus ibis	159742	Bubulcus ibis	
1190	Egretta garzetta	Little Egret	01190	Egretta garzetta	159115	Egretta garzetta	
1210	Ardea alba	Great Egret	01210	Egretta alba	159381	Ardea alba	
1220	Ardea cinerea	Grey Heron	01220	Ardea cinerea	212668	Ardea cinerea	
1240	Ardea purpurea	Purple Heron	01240	Ardea purpurea	212669	Ardea purpurea	
1340	Ciconia ciconia	White Stork	01340	Ciconia ciconia	1037305	Ciconia ciconia	
1360	Plegadis falcinellus	Glossy Ibis	01360	Plegadis falcinellus	158977	Plegadis falcinellus	
1440	Platalea leucorodia	Eurasian Spoonbill	01440	Platalea leucorodia	416678	Platalea leucorodia	
1470	Phoenicopterus ruber	American Flamingo	01470	Phoenicopterus ruber	212708	Phoenicopterus ruber	
1520	Cygnus olor	Mute Swan	01520	Cygnus olor	159090	Cygnus olor	
1530	Cygnus columbianus	Tundra Swan	01530	Cygnus columbianus	159088	Cygnus columbianus	
1540	Cygnus cygnus	Whooper Swan	01540	Cygnus cygnus	159089	Cygnus cygnus	
1559	Cygnus sp.	unidentified swan	01559	Cygnus sp.	159087	Cygnus	1549 (v5)
20800	Cygnus atratus	Black Swan	20800	Cygnus atratus	225915	Cygnus atratus	1545 (v5)
1569	Anser / Branta sp.	unidentified goose	01569	Anser spp / Branta spp.	136973	Anatidae	1699 (v5)
1570	Anser fabalis / serrirostris rossicus	Taiga / Tundra Bean Goose (rossicus)			159158	Anser	Not exactly the same as EURING 1570
1571	Anser fabalis	Taiga Bean Goose	01571	Anser fabalis fabalis	416685	Anser fabalis	
1574	Anser serrirostris rossicus	Tundra Bean Goose (rossicus)	01574	Anser fabalis rossicus	1488266	Anser serrirostris	
1580	Anser brachyrhynchus	Pink-footed Goose	01580	Anser brachyrhynchus	416683	Anser brachyrhynchus	
1590	Anser albifrons	Greater White-fronted Goose	01590	Anser albifrons	159159	Anser albifrons	
1610	Anser anser	Greylag Goose	01610	Anser anser	416682	Anser anser	
1620	Anser indicus	Bar-headed goose	01620	Anser indicus	1037301	Anser indicus	
1659	Anser sp.	unidentified (Anser) goose	01659	Anser sp.	159158	Anser	1639 (v5)
1660	Branta canadensis	Canada Goose	01660	Branta canadensis	159176	Branta canadensis	
1670	Branta leucopsis	Barnacle Goose	01670	Branta leucopsis	159177	Branta leucopsis	
1680	Branta bernicla	Brent Goose	01680	Branta bernicla	159175	Branta bernicla	
1681	Branta bernicla bernicla	Dark-bellied Brent Goose	01681	Branta bernicla bernicla	159175	Branta bernicla	
1682	Branta bernicla hrota	Pale-bellied Brent Goose	01682	Branta bernicla hrota	1488267	Branta hrota	
1700	Alopochen aegyptiaca	Egyptian Goose	01700	Alopochen aegyptiacus	416680	Alopochen aegyptiaca	
1730	Tadorna tadorna	Shelduck	01730	Tadorna tadorna	232042	Tadorna tadorna	
1790	Mareca penelope	Eurasian Wigeon	01790	Anas penelope	1464521	Mareca penelope	
1820	Anas strepera	Gadwall	01820	Anas strepera	159171	Anas strepera	
1840	Anas crecca	Eurasian Teal	01840	Anas crecca	158943	Anas crecca	
1845	Anas crecca / Spatula querquedula	Eurasian Teal / Garganey			136973	Anatidae	
1860	Anas platyrhynchos	Mallard	01860	Anas platyrhynchos	148791	Anas platyrhynchos	
1863	Anas platyrhynchos domestica	Mallard (domestica)	01863	Anas platyrhynchos domestica	1534786	Anas platyrhynchos domestica	1865 (v5)
1890	Anas acuta	Northern Pintail	01890	Anas acuta	158939	Anas acuta	
1910	Spatula querquedula	Garganey	01910	Anas querquedula	1459928	Spatula querquedula	
1940	Spatula clypeata	Northern Shoveler	01940	Anas clypeata	1461476	Spatula clypeata	
1959		unidentified dabbling duck			136973	Anatidae	
1980	Aythya ferina	Common Pochard	01980	Aythya ferina	232037	Aythya ferina	
2030	Aythya fuligula	Tufted Duck	02030	Aythya fuligula	159164	Aythya fuligula	
2040	Aythya marila	Greater Scaup	02040	Aythya marila	159172	Aythya marila	
2059	Aythya sp.	unidentified (Aythya) diving duck	02059	Aythya sp.	159160	Aythya	2189 (v5)
2060	Somateria mollissima	Common Eider	02060	Somateria mollissima	137074	Somateria mollissima	
2070	Somateria spectabilis	King Eider	02070	Somateria spectabilis	137075	Somateria spectabilis	
2110	Histrionicus histrionicus	Harlequin Duck	02110	Histrionicus histrionicus	159092	Histrionicus histrionicus	
2120	Clangula hyemalis	Long-tailed Duck	02120	Clangula hyemalis	137071	Clangula hyemalis	
2130	Melanitta nigra	Common Scoter	02130	Melanitta nigra	137073	Melanitta nigra	
2139	Melanitta sp.	unidentified scoter			137002	Melanitta	
2140	Melanitta perspicillata	Surf Scoter	02140	Melanitta perspicillata	159095	Melanitta perspicillata	
2150	Melanitta fusca	Velvet Scoter	02150	Melanitta fusca	137072	Melanitta fusca	
2160	Bucephala albeola	Bufflehead	02160	Bucephala albeola	159179	Bucephala albeola	
2180	Bucephala clangula	Common Goldeneye	02180	Bucephala clangula	159197	Bucephala clangula	
2200	Mergellus albellus	Smew	02200	Mergus albellus	232039	Mergellus albellus	
2210	Mergus serrator	Red-breasted Merganser	02210	Mergus serrator	159098	Mergus serrator	
2230	Mergus merganser	Common Merganser	02230	Mergus merganser	159097	Mergus merganser	
2239	Mergus sp.	unidentified merganser	02239	Mergus sp.	159096	Mergus	
2269		unidentified duck			136973	Anatidae	
2310	Pernis apivorus	European Honey Buzzard	02310	Pernis apivorus	558573	Pernis apivorus	
2350	Elanus caeruleus	Black-winged Kite	02350	Elanus caeruleus	570728	Accipitriformes	
2380	Milvus migrans	Black Kite	02380	Milvus migrans	212678	Milvus migrans	
2430	Haliaeetus albicilla	White-tailed Eagle	02430	Haliaeetus albicilla	232053	Haliaeetus albicilla	
